Table 1
Row Labels,Count of #,,,,,,,,,,,,,,,,,,,,,,,
4033001-4034000,28,,,,,,,,,,,,,,,,,,,,,,,
4034001-4035000,27,,,,,,,,,,,,,,,,,,,,,,,
4035001-4036000,5,,,,,,,,,,,,,,,,,,,,,,,
5001001-5002000,16,,,,,,,,,,,,,,,,,,,,,,,
5002001-5003000,14,,,,,,,,,,,,,,,,,,,,,,,
5003001-5004000,16,,,,,,,,,,,,,,,,,,,,,,,
5004001-5005000,13,,,,,,,,,,,,,,,,,,,,,,,
5005001-5006000,1,,,,,,,,,,,,,,,,,,,,,,,
5006001-5007000,3,,,,,,,,,,,,,,,,,,,,,,,
5007001-5008000,10,,,,,,,,,,,,,,,,,,,,,,,
5008001-5009000,6,,,,,,,,,,,,,,,,,,,,,,,
5009001-5010000,5,,,,,,,,,,,,,,,,,,,,,,,
5010001-5011000,2,,,,,,,,,,,,,,,,,,,,,,,
5011001-5012000,8,,,,,,,,,,,,,,,,,,,,,,,
5012001-5013000,7,,,,,,,,,,,,,,,,,,,,,,,
5013001-5014000,6,,,,,,,,,,,,,,,,,,,,,,,
5014001-5015000,8,,,,,,,,,,,,,,,,,,,,,,,
5015001-5016000,6,,,,,,,,,,,,,,,,,,,,,,,
5016001-5017000,2,,,,,,,,,,,,,,,,,,,,,,,
5017001-5018000,2,,,,,,,,,,,,,,,,,,,,,,,
5018001-5019000,5,,,,,,,,,,,,,,,,,,,,,,,
5019001-5020000,5,,,,,,,,,,,,,,,,,,,,,,,
5020001-5021000,4,,,,,,,,,,,,,,,,,,,,,,,
5021001-5022000,7,,,,,,,,,,,,,,,,,,,,,,,
5022001-5023000,6,,,,,,,,,,,,,,,,,,,,,,,
5023001-5024000,14,,,,,,,,,,,,,,,,,,,,,,,
5024001-5025000,4,,,,,,,,,,,,,,,,,,,,,,,
5025001-5026000,10,,,,,,,,,,,,,,,,,,,,,,,
5026001-5027000,2,,,,,,,,,,,,,,,,,,,,,,,
5027001-5028000,2,,,,,,,,,,,,,,,,,,,,,,,
5028001-5029000,42,,,,,,,,,,,,,,,,,,,,,,,
5029001-5030000,9,,,,,,,,,,,,,,,,,,,,,,,
5032001-5033000,49,,,,,,,,,,,,,,,,,,,,,,,
5033001-5034000,25,,,,,,,,,,,,,,,,,,,,,,,
5034001-5035000,1,,,,,,,,,,,,,,,,,,,,,,,
